Review Text,Star
"Prices are about what you would expect for a chain restaurant. The food is always good, and the service is okay. Not spectacular. They can be a little slow, probably die to the fact they were in the back visiting with each other instead of taking care of their customers. They are clean, but it smells musty.",5-star
"After work dinner with coworker. Ordered: burger, brewhouse chicken and chocolate lava cake Not busy @5:15pm, 5-6 tables Had to wait awhile for someone to seat us Waiter was nice but seemed distracted the whole time. Forgot my lemon and then condiments for burger. Food was hot and fresh Good experience overall.",4-star
"Big mistake to go. The total number of 1 an 2 stars is staggering. Applebee's should be ashamed of this establishment. Absolutely the filthiest place I have ever eaten at. The menus were stuck together with slopped food. The wrapped silverware had hardened food on it. The tabletop computer system had food and grease all over it (not just at our table). The food was terrible. I had the spicy chicken over mac&cheese. I do not know the name, as its is not listed on any Applebee online menu. But, it's the dish on their in-house menu. Seriously Applebee's - three frozen chicken stips dipped in some kind of spicy sauce from a jar? The mac&cheese should be just called mac, no cheese flavor what-so-ever. The server was great and service was fine. It is a pity that this place just sucks as bad as it does. Heed the warnings fellow Yelpaholics!!!!!!!",1-star
"Beware. Three words to describe my experience: crappy food, desorganized, dirty. Had to wait for what? Tables were empty and I should had seen this as a sign. No greeting no nothing. This girl came took two menus and told us we had to wait for another waiter to give here the sign to ley her know were to sit us. THE WE'RE PLENTY OF EMPTY SEATS. At last seated. No water, no silverware. The waiter kept passing by and saying she was working on it. Working on what? Melting metal in the kitchen to make our forks and spoons. Very strange. All the waiters looked very sloppy like the place, dirty and crappy. Our food came after 35 mins al together appetizer and food all cold, all the food. Our soup was frig cold. Horrible. It was a 57.00 slap on the face for the most horrible, salty, cold and disgusting food I have ever been served. The owners of this place with the sister chain Red Lobster across the street should close both down. They are both disgusting. Avoid at all costs!",1-star
Im here at applebees and the server was great but i order of their new special of 3 appetizers and one of them the brisket nacho looked like someone started eating of it. I spoke to the manager and he tells me that its the way they look..... Really!!!! I dont think.... I won't come back here,1-star
Been here a few times and everything has been pretty mediocre. Decided to try again last night and service was horrendous. Server took over 15 minutes to take our drink order and told us 3 times he'd be right with us then never stopped. Our dessert was brought to the wrong table and it took over 10 minutes for our server to notice. The food was average at best and the triple chocolate meltdown tasted like a frozen and then microwaved cake with a lot of artificial chocolate syrup. Will not be coming back to this location unfortunately.,1-star
Second visit. First time long wait but plenty of open tables. This time I was seated with no waiting. The new drinks were good but my meal took forever to arrive. No forks no knives. Meal was cold. This experience was a $80 slap in the face.,1-star
"I can't believe this place!! My husband and I went here just last Saturday night. We were looking forward to it since we have two little ones and time alone is precious. We got there and I can say that I understand it's Saturday night and about 11 so I am giving them the benefit of the doubt as to the cleanliness of the floors and stuff. We thought it was cool that they have ""tablets"" on the table now so we ordered our apps with the tablet and then the server came over. ""What y'all drinking?"" Ummmm hello. How are you? Ok so two strikes by this point. Next thing I know the server, our server, is cleaning a table next to ours and she takes a broom that has probably been in the store for at least 5 years and sweeps the table top off. There was only like two straw wrappers and maybe a lemon wedge on the table. She just took that old nasty broom and swept the table top!! CHECK PLEASE. I have worked in this business since I was 14 and even then I would have never did this. Ridiculous. Called the manager and cancelled our order. If she can do this in front of us and about 5-6 other tables there is no telling what she is doing in the back when we can't see her. NEVER going here again. Disgusting.",1-star
I always sit at the bar they take better care of you. Karl and Stevie always make sure I am taken care of. WE LOVE TO STOP IN BEFORE A MOVIE ACROSS THE STREET!! Quick in and out with a smile!,5-star
Just ate at this crappy place. Food and service sucks. Will not return to this garbage trash. The waitress don't want to work for their tips. They looked pissed because it's Saturday and they Stuck working.,1-star
"Me and my roommate have been to this applebees a few times but this last time was pretty bad, We ordered the green bean chrispers, chicken tenders plate and the oriental half salad. Green bean chrispers were very over cooked as well as the chicken tenders to were i couldn't really eat them. the waitress was nice at first and then randomly she walks by sets the check on the table like i had made her mad and walked off with out a word. Made me feel like a ""get the hell out"" from here. We WERE going to order desert but after that we decided against it. Bad service over cooked food.",2-star
"Was traveling on business from Phoenix on Oct 13th (just doing expense report today ;-). Flight was late, late hotel, etc. Was the only place open but Sarah G. was our server. She was so nice. Got the order in right away, had a great personality and kept the drinks full. Best service I've ever had at an Applebees!",5-star
This place simply doesn't cut it. The food is substandard and the service is a bunch of folks running around like they have no idea what they are doing. Go someplace else . . any place else. This truly is not good food.,1-star
"Crapplebee's is right! I joined a colleague here for a quick lunch and I'll likely not make that mistake twice. The service was minimal, the restaurant was dirty and the food was horrible. My salad was filled with wilted lettuce and my water tasted funny. I could have gotten a better salad from McDonald's at half the price. Don't waste your time.",1-star
"Pretty average trip on a Friday night. No wait which was nice, or an indicator of just okay dining? Either way...our service was good, maybe overly friendly, but better that than searching for him and he was apologetic for us having to wait for our food longer than expected for a near empty section! Our appetizer was the way over greasy would never get again Potato Twisters...basically deep fried chips with a greasy dip...just yuck! I got a cheeseburger that was a little pinker than I like it but tasty overall, he got a skillet of steak, potatoes and onions that was VERY hot and sizzling everywhere...what a mess although the flavor he said was good. Not impressed at this visit, but based on previous trips I'd give them another chance...perhaps a different location...",2-star
Meh. Just passing through and stopped for a bite..place wasn't busy on a Friday dinner service which is a bad sign. Seemed dingy/ slightly dirty. My Skinny Margarita was yummy though.,2-star
We went on Canada Day. We received excellent service and wonderful food. This place is certainly one that Canada can be proud of! Our waiter recommended the smoked haddock hash with poached eggs; I'm glad I listened to him.,5-star
"Lovely bar with good classic drinks and relaxed vibe. Hung out with smoker friends so we periodically stepped out for a cigarette (for them, not me) and the bartender was always great about keeping our bar spot and covering our drinks with a coaster. From my perspective, a nice touch of service. Saw folks ordering food that smelled good as well.",5-star
"Bar George is such a beautiful place. The servers and staff are welcome, warm and friendly and the ambiance is great. It's such a special place in downtown Montreal. I've been with friends for brunch several times and it's always delicious. However, this time we noticed that the portions have been significantly reduced. Each of dishes was delicious but smaller and some didn't come with the sides of potatoes or greens like it used to. We decided to order an extra pain perdu to share. I still love this place but I was disappointed.",4-star
"Le bar George m'avait été recommandé par un maitre d'hôtel alors que je cherchais un lieu sympa et 'différent ' pour y emmener un visiteur venu d'Europe. C'était en plein hiver et on m'avait vanté le côté chaleureux, chic et totalement approprié pour un ami venu d'Ecosse. Finalement j'y suis allée pour la première fois un dimanche de printemps, non pas pour les cocktails mais pour un brunch. Le decor est grandiose, installé dans un ancien 'gentleman's club' on sent l'histoire du lieu de par le choix des peintures accrochées au mur, les coloris choisis, les grandes cheminées bourgeoises. Le decor est joli mais manque un peu de lumière naturelle, probablement que l'hiver c'est effectivement idéal. Nous avons commandé sur le menu du brunch et tout le monde a rapidement trouvé quelque chose qui le tentait. J'ai pris une assiette dejeuner avec un morceau de boudin noir. Les portions etaient correctes, suffisantes, pas extravagantes mais le plat en soit n'avait rien d'exceptionnel. Bon, mais pas au point de me dire que je veux y retourner manger un brunch parce que finalement les assiettes étaient assez dispendieuses en comparaison d'autres places à déjeuner offrant des mets similaires. Le service était très professionnel et la salle à manger très calme, ideale pour un groupe familial ou meme un couple de visite à Montréal pour le WE. Je tenterai peut-être le bar un soir car c'est pour cela que ce lieu m'avait été recommandé initialement. Plutôt l'hiver.",4-star
"Thankfully this place was not far from our stay in Montreal. We stopped in for late night cocktails and the atmosphere was great. unique drinks and friendly staff. We came back later on in the weekend for brunch which was also very good. Avocado toast with poached eggs was everything. Get the side of Toronto bacon and soak in the salty goodness! The decor of this place is quite interesting. A very historic place ringing true to its vintage look with slightly modern pieces. Cool vibe at night, but nice for brunch. Try to go if you're in the area!",5-star
"What a beautiful place to have a nice breakfast. I went with fellow yelpers to go to Bar George. The service was amazing they have a lot of staff who always made sure that I had water, coffee and tea. As well asked if I liked the food. They made some options on the menu Vegan for me. I chose the avocado toast it had a great relish under which gave it a nice taste to it. The service was also very fast from the kitchen. They have a great Americans and with the tea they have a full pot not just a cup ! They have beautiful washrooms, parking is on the street which is free on Sundays. The only downfall with the price for a tea, coffee and two avocado toast was $30 which included the tip. It wasn't horrible but a tad high. But you get your money's worth here. Check it out for a fancy occasion.",4-star
"Great ambiance and a very nice bar. The burger was over cooked and under seasoned. Definitely will come back for cocktails, will probably skip the food!",3-star
"While vacationing here in Montreal with my boyfriend we stubbled across Bar George and figured we'd give it a try. The exterior and interior are absolutely beautiful so we were excited for the experience we were about to have. The food is fresh and each plate has such a great balance of flavors. We first came for lunch and loved it so much that we made dinner reservations for the next evening. Do yourself a favor, whether it's just to stop by for a drink or have meal, you won't regret your visit to Bar George.",5-star
"Bel endroit et beau décore à l anglaise. Très bon service, Gâteau au chocolat et son sorbet vraiment délicieux à essayer absolument",4-star
"Where do I start, Bar George gives me all the feels. It's beyond exceptional. This once home of business mogul turned exquisite boutique hotel offers fine relatively affordable dining. Also learned it's a national historic site in Montreal. It's like walking into a museum. The space is absolutely breathtaking. The 4 of us were lucky to snag a spot for brunch without a reservation on a frigid day but wouldn't chance it next time. We all loved our meals: -Full English Breakfast -Haddock Hash -Eggs Benedict -Beetroot Salad (disliked beets until this dish) Just wish we had time to return for a drink at the gorgeous bar!",5-star
"Great experience tonight with my wife. Service at the bar was impeccable, same for the dinning room. Breathtaking setting, simply gorgeous. You find yourself looking at all the different details on the walls. The food was delicious. We will without a doubt be back, this is a keeper.",5-star
"My family and I went at Bar George on Christmas Day 2017 during a vacation to Montreal. I hadn't realized that Bar George was a restaurant in a hotel until we got there but don't let that deter you. Firstly, the hotel and restaurant are beautiful. When you enter there is an ornate wooden staircase which was perfect for Christmas day post dinner pictures. The entry was also beautifully decorated for the holiday. Every staff member we interacted with was friendly and very helpful, especially regarding the menu. The food was fantastic. We all started our with cocktails that were a twist on traditional English drinks. As a gin lover I really appreciated the cocktail selection. Our server suggested the scallops with blood pudding ravioli which was delicious, I would definitely recommend this dish. Everyone in our party enjoyed what they ordered for dinner and we got three desserts to share. We got the George's mess which is their play on Eton Mess, the pumpkin pie, and the whiskey chocolate cake. I had wished the George's mess had more meringue but all the desserts were rich and delightful. I would definitely recommend Bar George to visitors of a Montreal.",5-star
"Came here for brunch and it was so wonderful! We didn't have a reservation and had no problem sitting at the bar. Great service, cool atmosphere, and awesome menu. Started with a croissant and holy moly was it good. Love the little jars of jam it is served with! Got the avo toast with poached egg and it was wonderful. Boyfriend got the omelette and he was over the moon. Highly recommend and would definitely come back.",5-star
"I had heard so much about this place that I had to try it out with my foodie friends. If you love history and visiting historical places..bar George should definately be on your list. Situated on Drummond Street, this majestic home is most certainly a site for sore eyes. A handsome smiley doorman welcomes it's guests into this beautiful stone walled mansion. Stepping into the former Mount Stephen's Club is like walking back through time. Stunning hand crafted wooden walls and marble fireplaces...makes you feel like you are in a fairy tale place. What is most awesome is that they do allow guests to visit the second floor to get a glimpse of the rest of the mansion. We went for Sunday brunch and loved the whole experience. The food itself is good but it's being in the mansion that adds to the overall experience. Will definately go back to try the 5@7 at the bar area! We went on a Sunday 10am and easily found parking on the street...no parking meter fee until 1pm on Sundays. Reservations are required.",4-star
"Everything was perfect- the old fashion, welks appetizer, cod cake with the delicious little caviar. We even made time for a rich chocolate tart with ginger sorbet. Everything was spectacular and the building itself is worth a visit. I wish I would have taken photos but I couldn't stop myself from eating enough to remember.",5-star
"Came here for brunch only, so I can't tell you about the bar or dinner. First of all, you are greeted with a gorgeous Victorian building that feels incredibly classy and elegant. However, the atmosphere was pretty laid back and unpretentious. We were seated at the bar and they also had a coat check. Service was fast and friendly! We watched them make drinks as people just sat around the oval shaped bar. Tried not to stare at the people across the table :| I got the george's full English, which reminded me of my time enjoying brunches in the UK. All the components were very well done, the beans, mushrooms, bacon, eggs, tomatoes and black pudding. Everything was seasoned perfectly. I think this was the first time I've had black pudding outside of England and honestly it was more delicious. I also got to try the haddock hash, and it was excellent as well. The prices are reasonable for a typical brunch, just a little pricier (tea was $4). It was definitely worth the experience and I'll probably go back to see what other English fare they serve up! (They have chips with curry sauce!!)",5-star
"Beautiful cuisine in a beautiful place. Luc is the best server ever. I called to ask if he could serve on my family and I because I really wanted to make an impression and he totally went beyond my expectations. The food is absolutely fantastic, as good as any 5 star restaurant in Montreal, which is saying something. I loved the boudin noir canneloni/scallop/ cauliflower dish. It was so imaginative and the flavors went together so well.",5-star
"TL;DR Beautiful room, friendly service, no vegetarian options in the Bar Bites. I was responsible for picking a spot for a 4pm bite before an event for a few members of a panel I had put together at McGill University on Ending Poverty in Canada. I picked Bar George based on the reviews, location, and the fact we were able to make a reservation at such a weird hour - I know a reservation isn't necessary at 4pm on a Tuesday, but we had a Canadian Senator coming and wanted everything locked down, if only for our own anxiety. I got there a bit before my guests and was delighted by the spectacularly beautiful room and the perfect, warm service. And then I found out that, very reasonably, we were between the lunch and dinner menus and would only be able to order from the Bar Bites. There were lots of delicious sounding options, but nothing vegetarian at all - everything had fish or meat - except for the French fries, but we needed something substantial before our event! Yikes! I asked about vegetarian options, and told the waitress my concern. She said, I think I saw on your reservation you are coming with a Senator? In that case, if she needs something that's not on the menu, we'll hook her up. Which was super nice. And I'm glad to know they can accommodate powerful people.... But but but. True class and high level hospitality is treating everyone at that high level. Anyway. I ate the curried fish on crumpets, and the cheese on the Ploughman Platter and they were totally freaking delicious. I loved the service from every single person I interacted with, and as the bar started to fill up with 5a7 crowd I got the impression this could be a really fun, classy place to come for drinks if you want to feel fabulous. And the lunch and dinner menus have salads and other vegetarian options I think, so no stress. Just a moment that left me thinking about how class can determine access to healthy, sustainable options... and a Yelp review seemed an appropriate place to share. ;)",4-star
"We decided to try the restaurant attached to our hostel for breakfast. The food was very good, but the selections are a little limited. The staff were very nice and accommodating.",5-star
"Bar George opened about four months. It used to be a private club for a while, which you can immediately see upon entering. There is a dining room and a bar downstairs, and a couple of private dining and meeting rooms in the building. There is a large bar as well, and small tables by the window in the same room as the bar. There is also a patio. We received superb, 5-star service there. Our server went over the menu and answered our questions in detail. He was knowledgeable about the food, as well as the history of the place. He also made sure that our specific requests/modifications are met exactly. The food was very good and came out very quickly. The menu was straightforward and included a few fish options. We had the atlantic mackerel and the black pudding agnolotti. The mackerel was very tender and delicious, with tasty sides. The agnolotti was very good too. We went there for lunch and didn't get drinks or desserts. I am already making plans for my next visit to try out the whiskey pudding!",4-star
"Great food and great drinks ... what else can you ask for? Located in the Le Mount Stephen hotel, this dining establishment features a dining room and a bar - both of them with very a very distinct old-world feel, given the fact they are housed within an old mansion. I had breakfast, dinner and drinks here and all of the experiences were top notch. Breakfast - the haddock hash is fantastic. I strongly recommend that Item though keep in mind it is most definitely a very heavy item, especially in the morning. I was also a fan of their coffee ... good stuff. Dinner - I opted for the cornish hen given all the rave reviews. The dish did not disappoint. The chicken was tender, well cooked and the pastry was a nice touch. The tuna crudo appetizer was also delish and flavorful.",5-star
"Absolutely stunning! Talk about one chic brunch. As you enter you will have the bar section on your left side and the dining room in front. Staff is as friendly as can be. Very suitable for business meetings or intimate dates. We had the poached eggs on avocado toasts, omelette with potatoes and mimosas on the side. You can count on me revisiting that place.",5-star
"I returned to Montreal after being away for the summer to find out that this place opened up around the corner from me. It's inside the Mount Stephen hotel, a boutique hotel in a restored historic building. I decided to stop by for breakfast. The first thing that strikes you is the space itself. The wood-panelled walls, plush carpet and hardwood floors, and marble countertops evoke the grand hotels of a century ago. You have the option of eating either in the dining room or at the bar. I chose the bar for the more open space and brighter lighting, since I was there for breakfast. The menu is simple and well-curated. Given the British pub theme, they have the usual suspects, along with the full English breakfast. I opted for the omelette forestière, with mushrooms, lardons, spinach, Emmental, and duck fat potatoes, along with a side of their breakfast sausage. I was seriously impressed with everything. The omelette was properly executed, not overcooked, and the filling was the right mix of crispy and gooey. The duck fat potatoes were excellent, with a slightly crisp, caramelized outside encasing a creamy interior. The sausages seemed house made, and had a nice herbal seasoning to them. Service-wise, business was slow when I was there, and even though the staff was taking advantage of the down time to prepare for the lunch and dinner rushes later that day, they were friendly and attentive. I'm definitely looking forward to a return visit for dinner soon.",5-star
"We were in a shopping center on Rue McGill College looking on Yelp for a place for lunch with outdoor seating nearby. This was less than a 10 minute walk away and had an interesting menu. It is located a little out of the way from the hustle of downtown, with a big shaded outdoor patio set back and above the street. Lovely spot. Two of us shared the following: a bottle of Pinot Grigio (hey, don't judge, we are on vacation after attending a conference!), the beetroot salad, tuna crudo appetizer, and the cod cake. We ended the meal with a pair of soy lattes. Everything was INCREDIBLE. It was all beautifully presented and amazingly tasty. Such great textures, colors, and flavors. Neither too heavy nor too virtuous. So many fresh herbs on everything. So creative yet restrained. Even the lattes were particularly tasty. The service was also great. Friendly and attentive. You must come here.",5-star
"My only NICE sit-down dinner while visiting Montreal for a conference was here. I was taken out by one of our previous vendors who was also at the conference to this restaurant with a few others so I dined here this past week with a small group. We had wine, appetizers, dinner, and dessert so we experienced it ALL here! I had the butler steak for my main course/dinner, it was very good, and I even got to try a few things I've never had before. For starters, when we were greeted we got a brief background of the place which was really nice and made the place and experience even more appealing. Our server had the cutest accent and we loved hearing her explain the menu options and answering our questions we had about the menu. The menus here are in French & English so again...super helpful. This place is beautiful - make sure to visit the second floor where the bathrooms are as it really looks similar to a church! Everyone is very friendly here, the place is SO nice and the food is great too. Most people were dining outside, but we dined inside as that is where the beauty of this place really is! I DO recommend dining here.",5-star
"J'ai trop trop adoré l'endroit, on se croirait dans un vieil immeuble à Londres; c'est de toute beauté! J'y suis allée pour le déjeuner et bien qu'ils soient assez traditionnels, ils sont délicieux! J'ai pris le pain doré, qui est plus un pain perdu, aux petits fruits et crème anglaise; c'était merveilleusement bon! Mon copain a pris le full english breakfast et tout était très bon! C'est pas très cher pour un déjeuner, les assiettes sont entre 12$ et 20$ ! Le café est bon, le service est excellent et je vous jure, l'endroit est fantastique!!",5-star
"WOW! The restaurant is stunning!! The food was incredible and the service was excellent. When you go (and you really should go), walk upstairs to see the old mansion.",5-star
"First of all, I love the decorations!!! It looks so fancy with the old heritage style mixing with modern twists of luxury! The service is very nice! I got a surprise dessert because I celebrated birthday day here. Talking about the food, I was slightly disappointed by the taste with $$$$ price. I ordered cream of mushroom soup as starter, it was good. The bread tasted a little bite too salty. Then I got a main dish with shrimps and fish. It was good but again a little bite too salty. The dessert consisted of a small cake and a ball of frozen yogurt. The frozen yogurt was tasty but the cake was toooooooo sweet!",4-star
"With no doubt the classiest bar in Montreal, the charm of the old place, the marvelous wood and marble work give this place a class by it's own . Everything about the bar is fantastic except the slow service,the restaurant is little disappointing, the quantities are too small, the waiters are friendly but not well trend . I guess things will get better with time",4-star
"What a beautiful house! This place is so gorgeous it makes every occasion special. I went there for lunch, had the steak, which was very good, and a great dates& whiskey pudding for dessert. Great service as well. But what makes it special really is the house interiors. It's stunning, but cozy and comfortable at the same time.",5-star
"We really enjoyed appetizers and drinks there. Staff was nice and welcoming, they had an outside patio and brought our fog and she was treated well. The food and service was great....sad it closed.",5-star
"Worst service we've ever had. We just walked out of there after sitting for 38 minutes without our order for dinner being taken. They did take our drink order and appetizer order and served those, but didn't come back until 38 minutes later. The waitress was standing at the back of the bar the entire time bull shitting with a guy that worked there. Then came and asked what we wanted to order after 38 minutes. I said nothing and I left cash on the table to pay for what we ordered and we left. We'll never go back. Place was a joke!",1-star
"My husband and I decided to try this place out for dinner. We have not yet tried this place but we were eager to do so. When you go out to eat you want to have an enjoyable meal but it was very hard to do so here. First off, We sat at the bar and heard nothing but cuss words coming from the kitchen. We all cuss...I get it but do you really need to say the ""F"" word in every single sentence. Secondly, my food had no flavor at all. I got the soup which the server talked up and I regret making that decision. Lastly, my drink was empty majority of the time. There is no professionalism here at all. I don't know about you but I do not think you should wear yoga pants to work.",1-star
We just moved across the street from the place. I was very amazed by the cool atmosphere they got going on here. We ordered a few appetizers and some beers. the prices here are really great! I ordered the prime rob sliders and a 24 oz draft beer. The food was very filling and delicious. I would definitely recommend the prime rob sliders here! The bar area looks really cool too and they have plenty of tv if you are looks for a great place to grab some drink and watch the game. I will absolutely be a frequent visitor here. Great place. Great prices. Great food.,5-star
I have been here a couple of times and I am not impressed with the service. I sat at the bar and waited for 10 minutes and nobody asked me what I wanted to drink. The bar was not crowded so I walked next door. They have potential because it looks cool and they have alot of TV's for sports but the service needs to improve. I will give it 2 stars because it looks cool otherwise it deserves a 1.,2-star
Middle of the road bar with middle of the road food. The nice thing is you can get whiskey ranging from cheap to high/middle range so you should be able to find one that suits your tastes and budget. The only problem is the bartender that helped me didn't know anything about any of them.,3-star
"We have been to Barrel Grill about 10 times now, I didn't post this until now because I wanted to see how consistent they are. The first 2 times we went we had the Ribs & we all agreed they were the best in town. The BBQ sauce is a little vinegary which we loved. Everything we ordered was hot & fresh. The Tequila Beans are out of this world, made in BBQ sauce that is a little sweet so they complimented the vinegary rib sauce well. The next time we went I had the burger & had to send it back, it was well done & I ordered it medium rare. It came back medium well this time. The meat was a thin patty, dry & very mediocre. It looked like it was steamed because it was greyish & there were no grill marks or dark edges from being cooked on a griddle. They don't tell you the size burger on the menu, I thought it was only 1/4lb when I saw it but they told me it was 1/3 lb. For the price I thought I would get a thick juicy 1/2lb burger. Okay, lesson learned, I won't ever order that again. My friend & husband ordered the Grilled Fish Sandwich & hers was thick & she liked it very much but my husbands was thin & only okay. Next time I ordered the Sloppy Joe & I'm hooked. The sauce is a little sweet & it's heaped on a soft roll. The sweet potato fries are excellent, piping hot & they sprinkle sugar cinnamon on them which I loved. I order the Sloppy Joes all the time now & they are always good but the sweet potato fries vary from piping to room temp so they are not consistent. Beans are consistently very good. The Pulled Pork Sliders were very good but the Onion Strings they came with were cold & limp. Several other visits we ordered the ribs hoping for those moist hot ribs we had on the first 2 visits but to our disappointment they have been drier & only just warm. What happened to the best ribs in town? It now seems like we are getting ribs that were made the day before. We're going to try them one more time before we give up. I so hope they go back to their high standards so I can go back to recommending them to my friends. I know you can do it because they've been excellent before. I'm rooting for you. The servers are friendly but we belong to the rewards club & never seem to get our points added on. I don't know what the problem is with that, it seems like such a simple thing to do. The ambiance is rustic western with very roomy booths & tables. The dim lighting is perfect for relaxed dining but it's not dark by any means. They have several TV's around the bar which is in the middle of the room so the games can be watched from most tables. There are 2 separate outdoor dining areas, 1 with just a few tables & one much larger. This restaurant is hit & miss food wise, I haven't tried the drinks, but I still think it's worth a try. When the food hits, it really hits!",3-star
"We both had beers and burgers! Our burgers were both very good! Staff was great, very friendly and just the right amount of a crowd.",4-star
Best chicken pot pie I ever ate! Great service...good food and reasonable prices. Husband and daughter had a burger and street tacos...yummy for all!,5-star
"I didn't want to try anything on the menu...it either had pepperjack cheese, bacon, chipotle sauce, or jalapeños. I got the house salad with chicken and was not impressed in the slightest. I'm glad I had a BOGO coupon. I tried three of the drinks (bloody mary, strawbily, and bootlegger). The bloody mary was good but on the spicy side. The other two were pretty nasty. The bartender was kind of rude at first but started being more friendly as we getting ready to leave. Service was ok. Not very attentive but oh well. I wouldn't choose to come back...just not a place I cared for but that's because I don't like the food choices they offer.",2-star
"Well, that was terrible. Wife clipped a coupon from the mail for this place. It was BOGO, so it was hard to pass it up. When we walked in we were not greeted by any hostess and the waitresses weren't sure who's turn it was. Finally seated, the waitress wondered off for a while without taking drinks orders. I had to fetch a high chair myself. When she came back, we were ready for drinks and a food order, but she ran away with only our drink order. A different waitress, who was sitting at another table (on break? She was eating with people) finally checked on us, and then our main one came back for the food order. It's been 15 minutes at this point. Someone else brings our drinks out. Waiting, waiting, and some more waiting, we haven't heard from our waitress or gotten our food. Now we are at 45 minutes. Mind you we ordered medium prime rib and a medium rare rib eye. We finally find the waitress and inquire about the food. She heads into the kitchen to check what's going on, and finds the food waiting in the window. (for how long??) The steaks were both well done, and the wife's prime rib did not come out with jus or horseradish sauce. The waitress did not check on us at all while eating. No refills, no bullsh*t ""how is everything"". Then we got the check (and applied the coupon, thankfully - saved us $22). It took another 10 minutes for her to pick up the book to swipe the card. So frustrating, and so disappointing. I know that service quality can break a restaurant, and I think it will break this one too.",1-star
"Was here for a lunch meeting. Okay place. Server was attentive and efficient. Food tasted okay, but all of us agreed it was overpriced for what was delivered. One person commented his ""Ranch Hand Steak Salad"" had very little steak and what was in the salad looked like the frozen Philly cheese steak meat you can buy at the grocery store.",2-star
"This place wasn't worthy of a rating. The waitresses seemed very flakey, I watched our drinks and food sit unattended for 5 minutes or more. The drinks were weak, the food was not only slightly over-priced but ours showed up absolutely cold! Wouldn't recommend to anyone. I would give no stars if I could.",1-star
"Good service, good food at reasonable cost!! Not sure what the negatives reviews were about but we would good back. Loved the patio and the daily specials were nice. Great draft beers and fried pickles.",5-star
The best buffalo chips around! My favorite if your craving buffalo sauce! The drinks are good and you can catch live music too. Definitely a hidden gem ;),5-star
